,"School Name","Full Address","Street Address",City,State,"Zip Code",Country,"School Type",Website,Description,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source
176,"Wilmington Jr. Academy","3001 Mill Creek Rd, Wilmington, DE, 19808-1335, USA","3001 Mill Creek Rd",Wilmington,DE,19808-1335,USA,PK-08,https://www.adventisteducation.org/schools/ANB890,[],39.751233,-75.66644,1,rooftop,3001,"Mill Creek Rd",,,Wilmington,DE,"New Castle County",19808,US,"New Castle"
177,"Wilmington Jr. Academy Child Care","3001 Mill Creek Rd, Wilmington, DE, 19808-1335, USA","3001 Mill Creek Rd",Wilmington,DE,19808-1335,USA,ECP,https://www.adventisteducation.org/schools/ANB8WC,[],39.751233,-75.66644,1,rooftop,3001,"Mill Creek Rd",,,Wilmington,DE,"New Castle County",19808,US,"New Castle"
178,"AdventHealth University","671 Winyah Dr, Orlando, FL, 32803-1226, USA","671 Winyah Dr",Orlando,FL,32803-1226,USA,College,https://www.adventisteducation.org/schools/ANT1FM,[],28.576128,-81.36762,1,rooftop,671,"Winyah Dr",,,Orlando,FL,"Orange County",32803,US,"Public Domain Orange County"
179,"Adventist Christian Academy","4416 Thys Rd, New Port Richey, FL, 34653-5800, USA","4416 Thys Rd","New Port Richey",FL,34653-5800,USA,PK-08,https://www.adventisteducation.org/schools/ANTB78,[],28.223471,-82.706669,1,rooftop,4416,"Thys Rd",,,"New Port Richey",FL,"Pasco County",34653,US,Pasco
180,"Adventist Christian Academy","2700 Lisenby Ave, Panama City, FL, 32405-2708, USA","2700 Lisenby Ave","Panama City",FL,32405-2708,USA,PK-08,https://www.adventisteducation.org/schools/ANTG72,[],30.197483,-85.682894,1,rooftop,2700,"Lisenby Ave",,,"Panama City",FL,"Bay County",32405,US,"Bay County"
181,"Beryl Wisdom Adventist School","4955 Rose Ave, Orlando, FL, 32808-5950, USA","4955 Rose Ave",Orlando,FL,32808-5950,USA,PK-08,https://www.adventisteducation.org/schools/ANTBBF,[],28.610929,-81.443257,1,rooftop,4955,"Rose Ave",,,Orlando,FL,"Orange County",32808,US,"Public Domain Orange County"
182,"Bethel Jr. Academy-Florida City","32900 SW 187th Ave, Florida City, FL, 33034-1610, USA","32900 SW 187th Ave","Florida City",FL,33034-1610,USA,PK-08,https://www.adventisteducation.org/schools/ANTTBE,[],25.461224,-80.494046,1,rooftop,32900,"SW 187th Ave",,,Homestead,FL,"Miami-Dade County",33034,US,"Public Domain Miami-Dade County"
183,"Bethel Jr. Academy-Riviera Beach","2850 Avenue F, Riviera Beach, FL, 33404-3700, USA","2850 Avenue F","Riviera Beach",FL,33404-3700,USA,PK-08,https://www.adventisteducation.org/schools/ANTTPA,[],26.785812,-80.057622,1,rooftop,2850,"Ave F",,,"West Palm Beach",FL,"Palm Beach County",33404,US,"Public Domain Palm Beach County"
184,"Broward Junior Academy","201 NW 46th Ave, Plantation, FL, 33317-3148, USA","201 NW 46th Ave",Plantation,FL,33317-3148,USA,PK-10,https://www.adventisteducation.org/schools/ANTTBS,[],26.123221,-80.211034,1,rooftop,201,"NW 46th Ave",,,Plantation,FL,"Broward County",33317,US,"City of Fort Lauderdale"
185,"Children's Academy at Loch Haven","200 E Evans St, Orlando, FL, 32804-4612, USA","200 E Evans St",Orlando,FL,32804-4612,USA,ECP,https://www.adventisteducation.org/schools/ANTBLH,[],28.57684,-81.37448,1,rooftop,200,"E Evans St",,,Orlando,FL,"Orange County",32804,US,"Public Domain Orange County"
186,"Cocoa Adventist Christian School","1500 Cox Rd, Cocoa, FL, 32926-4742, USA","1500 Cox Rd",Cocoa,FL,32926-4742,USA,PK-08,https://www.adventisteducation.org/schools/ANTB18,[],28.382326,-80.786385,1,rooftop,1500,"Cox Rd",,,Cocoa,FL,"Brevard County",32926,US,"Brevard County"
187,"Daughter of Zion Junior Academy","250 NW 3rd Ave, Delray Beach, FL, 33444-2712, USA","250 NW 3rd Ave","Delray Beach",FL,33444-2712,USA,PK-08,https://www.adventisteducation.org/schools/ANTTDA,[],26.466086,-80.076514,1,rooftop,250,"NW 3rd Ave",,,"Delray Beach",FL,"Palm Beach County",33444,US,"Public Domain Palm Beach County"
188,"Daughter of Zion Junior Academy Day Care","250 NW 3rd Ave, Delray Beach, FL, 33444-2712, USA","250 NW 3rd Ave","Delray Beach",FL,33444-2712,USA,ECP,https://www.adventisteducation.org/schools/ANTTD2,[],26.466086,-80.076514,1,rooftop,250,"NW 3rd Ave",,,"Delray Beach",FL,"Palm Beach County",33444,US,"Public Domain Palm Beach County"
189,"Deltona Adventist School","1717 Catalina Blvd # 200, Deltona, FL, 32738-9541, USA","1717 Catalina Blvd # 200",Deltona,FL,32738-9541,USA,PK-08,https://www.adventisteducation.org/schools/ANTB27,[],28.94612,-81.224148,1,rooftop,1717,"Catalina Blvd",#,200,Deltona,FL,"Volusia County",32738,US,"Public Domain Volusia County"
190,"East Pasco Adventist Academy","38434 Centennial Rd, Dade City, FL, 33525-1633, USA","38434 Centennial Rd","Dade City",FL,33525-1633,USA,PK-08,https://www.adventisteducation.org/schools/ANTBEA,[],28.302298,-82.18027,1,rooftop,38434,"Centennial Rd",,,"Dade City",FL,"Pasco County",33525,US,Pasco
191,"Elim Child Development Center","4824 2nd Avenue South, St Petersburg, FL, 33711, USA","4824 2nd Avenue South","St Petersburg",FL,33711,USA,ECP,https://www.adventisteducation.org/schools/ANTTD3,[],27.768775,-82.69949,1,rooftop,4824,"2nd Ave S",,,"Saint Petersburg",FL,"Pinellas County",33711,US,"Indemnification Pinellas County"
192,"Elim Junior Academy","4824 2nd Ave S, Saint Petersburg, FL, 33711-1016, USA","4824 2nd Ave S","Saint Petersburg",FL,33711-1016,USA,PK-08,https://www.adventisteducation.org/schools/ANTT15,[],27.768775,-82.69949,1,rooftop,4824,"2nd Ave S",,,"Saint Petersburg",FL,"Pinellas County",33711,US,"Indemnification Pinellas County"
193,"Emerald Coast Christian School","119 Saint Mary Ave SW, Fort Walton Beach, FL, 32548-6646, USA","119 Saint Mary Ave SW","Fort Walton Beach",FL,32548-6646,USA,PK-08,https://www.adventisteducation.org/schools/ANTGFW,"The Emerald Coast Christian School goal is to show children Jesus, nurture their love for Him and others, teach them to think, and to empower them to serve.",30.406448,-86.618589,1,rooftop,119,"St Mary Ave SW",,,"Fort Walton Beach",FL,"Okaloosa County",32548,US,Okaloosa
194,"Ephesus Adventist Academy","4011 N Shore Dr, West Palm Beach, FL, 33407-3535, USA","4011 N Shore Dr","West Palm Beach",FL,33407-3535,USA,PK-12,https://www.adventisteducation.org/schools/ANTT25,[],26.750878,-80.07967,1,rooftop,4011,"N Shore Dr",,,"West Palm Beach",FL,"Palm Beach County",33407,US,"City of West Palm Beach"
195,"Ephesus Christian Childcare Center","1400 Palm Beach Lakes Blvd, West Palm Beach, FL, 33401-2415, USA","1400 Palm Beach Lakes Blvd","West Palm Beach",FL,33401-2415,USA,ECP,https://www.adventisteducation.org/schools/ANTT22,[],26.724445,-80.07196,1,rooftop,1400,"Palm Beach Lakes Blvd",,,"West Palm Beach",FL,"Palm Beach County",33401,US,"City of West Palm Beach"
196,"Ephesus Junior Academy","2760 Edgewood Ave W, Jacksonville, FL, 32209-2315, USA","2760 Edgewood Ave W",Jacksonville,FL,32209-2315,USA,PK-08,https://www.adventisteducation.org/schools/ANTT20,[],30.377352,-81.70955,1,rooftop,2760,"Edgewood Ave W",,,Jacksonville,FL,"Duval County",32209,US,Duval
197,"Forest City Adventist School","7563 Forest City Rd, Orlando, FL, 32810-3709, USA","7563 Forest City Rd",Orlando,FL,32810-3709,USA,PK-08,https://www.adventisteducation.org/schools/ANTB33,"Christian Education is a pledge to provide a Christ-centered curriculum which will promote the fullest development of the student’s spiritual, physical, mental, and social faculties. This school is dedicated to the philosophy of true education imparted by Christ.",28.62706,-81.411546,1,rooftop,7563,"Forest City Rd",,,Orlando,FL,"Orange County",32810,US,"Public Domain Orange County"
198,"Forest Lake Academy","500 Education Loop, Apopka, FL, 32703-6176, USA","500 Education Loop",Apopka,FL,32703-6176,USA,9-12,https://www.adventisteducation.org/schools/ANTB1F,"Forest Lake Academy is a college-preparatory Seventh-day Adventist Christian school dedicated to providing a challenging Christian education in an innovative, safe, and diverse environment.",28.670045,-81.436945,1,rooftop,500,"Education Loop",,,Apopka,FL,"Seminole County",32703,US,Indemnification
199,"Forest Lake Education Center","1275 Learning Loop, Longwood, FL, 32779-5840, USA","1275 Learning Loop",Longwood,FL,32779-5840,USA,PK-08,https://www.adventisteducation.org/schools/ANTB36,[],28.677881,-81.438398,1,rooftop,1275,"Learning Loop",,,Longwood,FL,"Seminole County",32779,US,Indemnification
200,"Gateway Christian School","18440 US Highway 441, Mount Dora, FL, 32757-6707, USA","18440 US Highway 441","Mount Dora",FL,32757-6707,USA,PK-08,https://www.adventisteducation.org/schools/ANTBMU,[],28.823177,-81.652254,1,rooftop,18440,US-441,,,"Mount Dora",FL,"Lake County",32757,US,"MapWise (and individual Florida counties)"
201,"GMAA Early Childhood &amp; Care Center","500 NW 122nd Ave, Miami, FL, 33182-1200, USA","500 NW 122nd Ave",Miami,FL,33182-1200,USA,ECP,https://www.adventisteducation.org/schools/ANTBGC,[],25.772301,-80.394132,1,rooftop,500,"NW 122nd Ave",,,Miami,FL,"Miami-Dade County",33182,US,"Public Domain Miami-Dade County"
202,"Greater Miami Adventist Academy","500 NW 122nd Ave, Miami, FL, 33182-1200, USA","500 NW 122nd Ave",Miami,FL,33182-1200,USA,PK-12,https://www.adventisteducation.org/schools/ANTB29,[],25.772301,-80.394132,1,rooftop,500,"NW 122nd Ave",,,Miami,FL,"Miami-Dade County",33182,US,"Public Domain Miami-Dade County"
203,"Gulfcoast SDA Elementary School","6001 7th Ave S, Saint Petersburg, FL, 33707-2404, USA","6001 7th Ave S","Saint Petersburg",FL,33707-2404,USA,PK-08,https://www.adventisteducation.org/schools/ANTB51,[],27.763177,-82.716658,1,rooftop,6001,"7th Ave S",,,"Saint Petersburg",FL,"Pinellas County",33707,US,"Indemnification Pinellas County"
204,"Indigo Christian Jr. Academy","401 N Williamson Blvd, Daytona Beach, FL, 32114-7101, USA","401 N Williamson Blvd","Daytona Beach",FL,32114-7101,USA,PK-08,https://www.adventisteducation.org/schools/ANTB22,[],29.193201,-81.082839,1,rooftop,401,"N Williamson Blvd",,,"Daytona Beach",FL,"Volusia County",32114,US,"Public Domain Volusia County"
205,"James E Sampson Memorial SDA School","3201 Memory Ln, Fort Pierce, FL, 34981-4401, USA","3201 Memory Ln","Fort Pierce",FL,34981-4401,USA,PK-08,https://www.adventisteducation.org/schools/ANTB60,[],27.406667,-80.373355,1,rooftop,3201,"Memory Ln",,,"Fort Pierce",FL,"St. Lucie County",34981,US,"St Lucie"
206,"Kids Ark Development Center","1226 Bunnell Rd, Altamonte Springs, FL, 32714-5407, USA","1226 Bunnell Rd","Altamonte Springs",FL,32714-5407,USA,ECP,https://www.adventisteducation.org/schools/ANTBKA,[],28.652364,-81.432243,1,rooftop,1226,"Bunnell Rd",,,"Altamonte Springs",FL,"Seminole County",32714,US,Indemnification
207,"Lauderhill Community Child Care Center","1173 NW 40th Ave, Lauderhill, FL, 33313-6629, USA","1173 NW 40th Ave",Lauderhill,FL,33313-6629,USA,ECP,https://www.adventisteducation.org/schools/ANTBLN,[],26.139719,-80.203746,1,rooftop,1173,"NW 40th Ave",,,Lauderhill,FL,"Broward County",33313,US,Broward
208,"LifePoint Academy of SDA","4298 Livingston Rd, Jacksonville, FL, 32257-7019, USA","4298 Livingston Rd",Jacksonville,FL,32257-7019,USA,PK-08,https://www.adventisteducation.org/schools/ANTB57,"Building Leaders of Integrity through Academic Excellence in a Christ-entered Environment",30.176497,-81.607081,1,rooftop,4298,"Livingston Rd",,,Jacksonville,FL,"Duval County",32257,US,Duval
209,"Little Peek at Heaven Preschool","400 NW 118th Ave, Plantation, FL, 33325-1826, USA","400 NW 118th Ave",Plantation,FL,33325-1826,USA,ECP,https://www.adventisteducation.org/schools/ANTBL4,[],26.12395,-80.30594,1,rooftop,400,"NW 118th Ave",,,Plantation,FL,"Broward County",33325,US,Statewide2
210,"Living Springs SDA Academy","23901 NW 212th Ave, High Springs, FL, 32643-8754, USA","23901 NW 212th Ave","High Springs",FL,32643-8754,USA,PK-08,https://www.adventisteducation.org/schools/ANTB81,[],29.848539,-82.597814,1,rooftop,23901,"NW 212th Ave",,,"High Springs",FL,"Alachua County",32643,US,Alachua
211,"Maranatha Child Development Center","18900 NW 32nd Ave, Miami Gardens, FL, 33056-3026, USA","18900 NW 32nd Ave","Miami Gardens",FL,33056-3026,USA,ECP,https://www.adventisteducation.org/schools/ANTBD8,[],25.947112,-80.255135,1,rooftop,18900,"NW 32nd Ave",,,"Miami Gardens",FL,"Miami-Dade County",33056,US,"Public Domain Miami-Dade County"
212,"Meadows Academy","5779 County Road 427, Sanford, FL, 32773-6334, USA","5779 County Road 427",Sanford,FL,32773-6334,USA,ECP,https://www.adventisteducation.org/schools/ANTBA4,[],28.7428,-81.287197,1,range_interpolation,5779,"County Rd 427 N",,,Sanford,FL,"Seminole County",32773,US,"TIGER/Line® dataset from the US Census Bureau"
213,"Miami Springs Adventist School","701 Curtiss Pkwy, Miami Springs, FL, 33166-7103, USA","701 Curtiss Pkwy","Miami Springs",FL,33166-7103,USA,PK-08,https://www.adventisteducation.org/schools/ANTB69,[],25.812816,-80.288694,1,rooftop,701,"Curtiss Pkwy",,,"Miami Springs",FL,"Miami-Dade County",33166,US,"Public Domain Miami-Dade County"
214,"Miami Union Adventist Academy","12600 NW 4th Ave, North Miami, FL, 33168-3628, USA","12600 NW 4th Ave","North Miami",FL,33168-3628,USA,PK-12,https://www.adventisteducation.org/schools/ANTTMJ,[],25.890881,-80.205455,1,rooftop,12600,"NW 4th Ave",,,"North Miami",FL,"Miami-Dade County",33168,US,"Public Domain Miami-Dade County"
215,"Mount Olivet SDA School","3013 NW 11th St, Fort Lauderdale, FL, 33311-5617, USA","3013 NW 11th St","Fort Lauderdale",FL,33311-5617,USA,PK-08,https://www.adventisteducation.org/schools/ANTT30,[],26.138286,-80.185217,1,rooftop,3013,"NW 11th St",,,"Fort Lauderdale",FL,"Broward County",33311,US,Broward
216,"Mount Sinai Child Development Center","2610 Orange Center Blvd, Orlando, FL, 32805-3546, USA","2610 Orange Center Blvd",Orlando,FL,32805-3546,USA,ECP,https://www.adventisteducation.org/schools/ANTTD7,[],28.530574,-81.412885,1,rooftop,2610,"Orange Center Blvd",,,Orlando,FL,"Orange County",32805,US,"Public Domain Orange County"
217,"Mt. Calvary Junior Academy","3111 E Wilder Ave, Tampa, FL, 33610-6428, USA","3111 E Wilder Ave",Tampa,FL,33610-6428,USA,PK-08,https://www.adventisteducation.org/schools/ANTT35,"Mt. Calvary Jr. Academy is committed to a Christ-centered education, developing minds to learn, hearts to love, and hands to serve.",27.992109,-82.424922,1,rooftop,3111,"E Wilder Ave",,,Tampa,FL,"Hillsborough County",33610,US,"Hillsborough County CC BY 4.0"
218,"Mt. Calvary Pre-School","3111 E Wilder Ave, Tampa, FL, 33610-6428, USA","3111 E Wilder Ave",Tampa,FL,33610-6428,USA,ECP,https://www.adventisteducation.org/schools/ANTTD8,[],27.992109,-82.424922,1,rooftop,3111,"E Wilder Ave",,,Tampa,FL,"Hillsborough County",33610,US,"Hillsborough County CC BY 4.0"
219,"Naples Adventist Christian School","2629 Horseshoe Dr S, Naples, FL, 34104-6122, USA","2629 Horseshoe Dr S",Naples,FL,34104-6122,USA,PK-08,https://www.adventisteducation.org/schools/ANTB75,"Our mission is to provide an environment where students learn in harmony with God's Word and  achieve academic excellence.",26.162113,-81.775563,1,rooftop,2629,"Horseshoe Dr S",,,Naples,FL,"Collier County",34104,US," Loveland"
220,"New Beginning Child Development Ctr","2804 Edgewood Ave W, Jacksonville, FL, 32209-2317, USA","2804 Edgewood Ave W",Jacksonville,FL,32209-2317,USA,ECP,https://www.adventisteducation.org/schools/ANTTD9,[],30.376792,-81.709851,1,rooftop,2804,"Edgewood Ave W",,,Jacksonville,FL,"Duval County",32209,US,Duval
221,"New Hope SDA Learning Center","545 E Campus Cir, Ft Lauderdale, FL, 33312-1905, USA","545 E Campus Cir","Ft Lauderdale",FL,33312-1905,USA,ECP,https://www.adventisteducation.org/schools/ANTTD0,[],26.114365,-80.193332,1,rooftop,545,"E Campus Cir",,,"Fort Lauderdale",FL,"Broward County",33312,US,"City of Fort Lauderdale"
222,"New Hope SDA School","545 E Campus Cir, Ft Lauderdale, FL, 33312-1905, USA","545 E Campus Cir","Ft Lauderdale",FL,33312-1905,USA,PK-08,https://www.adventisteducation.org/schools/ANTTNH,"New Hope SDA School and Learning Center is truly an extraordinary place of learning. Thanks to our Amazing staff each student is Challenged with rigorous standards in high academics and behavioral expectation equity and a solid foundation.",26.114365,-80.193332,1,rooftop,545,"E Campus Cir",,,"Fort Lauderdale",FL,"Broward County",33312,US,"City of Fort Lauderdale"
223,"North Tampa Christian Academy","5585 E County Line Rd, Wesley Chapel, FL, 33544-9301, USA","5585 E County Line Rd","Wesley Chapel",FL,33544-9301,USA,PK-12,https://www.adventisteducation.org/schools/ANTB2C,[],28.169117,-82.373268,1,rooftop,5585,"E County Line Rd",,,"Wesley Chapel",FL,"Hillsborough County",33544,US,"Hillsborough County CC BY 4.0"
224,"North Tampa Christian Explorers","5585 E County Line Rd, Wesley Chapel, FL, 33544-9301, USA","5585 E County Line Rd","Wesley Chapel",FL,33544-9301,USA,ECP,https://www.adventisteducation.org/schools/ANTB2N,[],28.169117,-82.373268,1,rooftop,5585,"E County Line Rd",,,"Wesley Chapel",FL,"Hillsborough County",33544,US,"Hillsborough County CC BY 4.0"
225,"Ocala Adventist Academy","415 NE 41st Ave, Ocala, FL, 34470-1462, USA","415 NE 41st Ave",Ocala,FL,34470-1462,USA,PK-08,https://www.adventisteducation.org/schools/ANTB84,[],29.190528,-82.077412,1,rooftop,415,"NE 41st Ave",,,Ocala,FL,"Marion County",34470,US," Loveland"
226,"Okeechobee Adventist Christian School","412 NW 6th St, Okeechobee, FL, 34972-2519, USA","412 NW 6th St",Okeechobee,FL,34972-2519,USA,PK-08,https://www.adventisteducation.org/schools/ANTB87,[],27.24928,-80.833951,1,rooftop,412,"NW 6th St",,,Okeechobee,FL,"Okeechobee County",34972,US," Loveland"
227,"Orlando Junior Academy","30 E Evans St, Orlando, FL, 32804-3942, USA","30 E Evans St",Orlando,FL,32804-3942,USA,PK-08,https://www.adventisteducation.org/schools/ANTB90,[],28.577384,-81.377766,1,rooftop,30,"E Evans St",,,Orlando,FL,"Orange County",32804,US,"Public Domain Orange County"
228,"Osceola Adventist Christian School","2395 Fortune Rd, Kissimmee, FL, 34744-3989, USA","2395 Fortune Rd",Kissimmee,FL,34744-3989,USA,PK-08,https://www.adventisteducation.org/schools/ANTB93,[],28.305335,-81.346927,1,rooftop,2395,"Fortune Rd",,,Kissimmee,FL,"Osceola County",34744,US,Osceola
229,"Palm Bay SDA School","3507 Carriage Gate Dr, West Melbourne, FL, 32904-9596, USA","3507 Carriage Gate Dr","West Melbourne",FL,32904-9596,USA,PK-08,https://www.adventisteducation.org/schools/ANTTPB,"The Palm Bay S.D.A. school exists to prepare students to emulate the culture of Christ in all areas of their lives",28.046208,-80.672313,1,rooftop,3507,"Carriage Gate Dr",,,Melbourne,FL,"Brevard County",32904,US,"Brevard County"
230,"Palm Beach Bilingual Daycare","2850 Avenue F, Riviera Beach, FL, 33404-3700, USA","2850 Avenue F","Riviera Beach",FL,33404-3700,USA,ECP,https://www.adventisteducation.org/schools/ANTT2E,[],26.785812,-80.057622,1,rooftop,2850,"Ave F",,,"West Palm Beach",FL,"Palm Beach County",33404,US,"Public Domain Palm Beach County"
231,"Pensacola Junior Academy","8751 University Pkwy, Pensacola, FL, 32514-4910, USA","8751 University Pkwy",Pensacola,FL,32514-4910,USA,PK-08,https://www.adventisteducation.org/schools/ANTG76,[],30.52252,-87.22256,1,rooftop,8751,"University Pkwy",,,Pensacola,FL,"Escambia County",32514,US,Escambia
232,"Perrine Child Development Center","9850 E Datura St, Miami, FL, 33157, USA","9850 E Datura St",Miami,FL,33157,USA,ECP,https://www.adventisteducation.org/schools/ANTTE1,[],25.607352,-80.349644,1,rooftop,9850,"E Datura St",,,Miami,FL,"Miami-Dade County",33157,US,"Public Domain Miami-Dade County"
233,"Perrine Seventh-day Adventist School","9750 E Datura St, Miami, FL, 33157, USA","9750 E Datura St",Miami,FL,33157,USA,PK-08,https://www.adventisteducation.org/schools/ANTTPF,[],25.607147,-80.349111,1,rooftop,9750,"E Datura St",,,Miami,FL,"Miami-Dade County",33157,US,"Public Domain Miami-Dade County"
234,"Port Charlotte Adventist School","2100 Loveland Blvd, Port Charlotte, FL, 33980-5753, USA","2100 Loveland Blvd","Port Charlotte",FL,33980-5753,USA,PK-10,https://www.adventisteducation.org/schools/ANTBA3,[],27.001642,-82.056995,1,rooftop,2100,"Loveland Blvd",,,"Punta Gorda",FL,"Charlotte County",33980,US,"Charlotte County"
235,"Sawgrass Adventist School","11701 NW 4th St, Plantation, FL, 33325-2511, USA","11701 NW 4th St",Plantation,FL,33325-2511,USA,PK-08,https://www.adventisteducation.org/schools/ANTBA9,[],26.124106,-80.305713,1,rooftop,11701,"NW 4th St",,,Plantation,FL,"Broward County",33325,US," Loveland"
236,"Shiloh SDA School","500 SW 17th Ave, Ocala, FL, 34471-1421, USA","500 SW 17th Ave",Ocala,FL,34471-1421,USA,PK-08,https://www.adventisteducation.org/schools/ANTT40,"We are a Seventh-day Adventist school.  Our staff is committed to providing quality education in a Christ-filled environment.",29.182906,-82.155114,1,rooftop,500,"SW 17th Ave",,,Ocala,FL,"Marion County",34471,US," Loveland"
237,"Tallahassee Adventist Christian Academy","616 Capital Cir NE, Tallahassee, FL, 32301, USA","616 Capital Cir NE",Tallahassee,FL,32301,USA,PK-08,https://www.adventisteducation.org/schools/ANTBB7,[],30.443322,-84.227904,1,rooftop,616,"Capital Cir NE",,,Tallahassee,FL,"Leon County",32301,US,Leon
238,"Walker Memorial Academy","1525 W Avon Blvd, Avon Park, FL, 33825-9512, USA","1525 W Avon Blvd","Avon Park",FL,33825-9512,USA,PK-10,https://www.adventisteducation.org/schools/ANTBD3,[],27.627821,-81.523756,1,rooftop,1525,"W Avon Blvd",,,"Avon Park",FL,"Highlands County",33825,US,"Highlands County, FL"
239,"West Coast Christian Academy","1112 49th Ave E, Bradenton, FL, 34203-2648, USA","1112 49th Ave E",Bradenton,FL,34203-2648,USA,PK-08,https://www.adventisteducation.org/schools/ANTBD7,[],27.454571,-82.551237,1,rooftop,1112,"49th Ave E",,,Bradenton,FL,"Manatee County",34203,US,"Manatee County CC BY 4.0"
240,"West Palm Beach Junior Academy","6300 Summit Blvd, West Palm Beach, FL, 33415-3551, USA","6300 Summit Blvd","West Palm Beach",FL,33415-3551,USA,PK-08,https://www.adventisteducation.org/schools/ANTBD9,[],26.662622,-80.141838,1,rooftop,6300,"Summit Blvd",,,"West Palm Beach",FL,"Palm Beach County",33415,US,"Public Domain Palm Beach County"
241,"William A Kirlew Jr Academy","18900 NW 32nd Ave, Miami Gardens, FL, 33056-3026, USA","18900 NW 32nd Ave","Miami Gardens",FL,33056-3026,USA,PK-08,https://www.adventisteducation.org/schools/ANTBMA,[],25.947112,-80.255135,1,rooftop,18900,"NW 32nd Ave",,,"Miami Gardens",FL,"Miami-Dade County",33056,US,"Public Domain Miami-Dade County"
242,"Winter Haven Adventist Academy","401 Avenue K SE, Winter Haven, FL, 33880-4126, USA","401 Avenue K SE","Winter Haven",FL,33880-4126,USA,PK-08,https://www.adventisteducation.org/schools/ANTBE7,[],28.01156,-81.722209,1,rooftop,401,"Ave K SE",,,"Winter Haven",FL,"Polk County",33880,US,Polk
243,"Adventist Christian School","4301 Wheeler Rd, Martinez, GA, 30907-8755, USA","4301 Wheeler Rd",Martinez,GA,30907-8755,USA,PK-08,https://www.adventisteducation.org/schools/ANTF30,[],33.48797,-82.124333,1,range_interpolation,4301,"Wheeler Rd",,,Augusta,GA,"Columbia County",30907,US,"TIGER/Line® dataset from the US Census Bureau"
244,"Atlanta Adventist Academy","2959 Duluth Highway 120 # 120, Duluth, GA, 30096-3701, USA","2959 Duluth Highway 120 # 120",Duluth,GA,30096-3701,USA,9-12,https://www.adventisteducation.org/schools/ANTF1B,[],33.988109,-84.133152,0.9,rooftop,2959,"Duluth Hwy",,,Duluth,GA,"Gwinnett County",30096,US,Gwinnett
245,"Atlanta Adventist International School","5241 Ash St, Forest Park, GA, 30297-3951, USA","5241 Ash St","Forest Park",GA,30297-3951,USA,PK-08,https://www.adventisteducation.org/schools/ANTMIS,[],33.611623,-84.364202,1,rooftop,5241,"Ash St",,,"Forest Park",GA,"Clayton County",30297,US,"Clayton County"
246,"Atlanta North SDA School","5123 Chamblee Dunwoody Rd, Atlanta, GA, 30338-4801, USA","5123 Chamblee Dunwoody Rd",Atlanta,GA,30338-4801,USA,PK-08,https://www.adventisteducation.org/schools/ANTF27,[],33.938638,-84.326016,1,rooftop,5123,"Chamblee Dunwoody Rd",,,Atlanta,GA,"Dekalb County",30338,US,Dekalb
247,"Berean Child Development Center","401 Hamilton E Holmes Dr NW, Atlanta, GA, 30318-7303, USA","401 Hamilton E Holmes Dr NW",Atlanta,GA,30318-7303,USA,ECP,https://www.adventisteducation.org/schools/ANTMBD,[],33.766338,-84.469765,1,rooftop,401,"Hamilton E Holmes Dr NW",,,Atlanta,GA,"Fulton County",30318,US,"Indemnification Fulton County"
248,"Berean Christian Junior Academy","401 Hamilton E. Holmes Dr., NW, Atlanta, GA, 30318, USA","401 Hamilton E. Holmes Dr., NW",Atlanta,GA,30318,USA,PK-08,https://www.adventisteducation.org/schools/ANTMAT,[],33.766338,-84.469765,1,rooftop,401,"Hamilton E Holmes Dr NW",,,Atlanta,GA,"Fulton County",30318,US,"Indemnification Fulton County"
249,"Bethany Christian Academy","1550 Edna Pl, Macon, GA, 31204-4911, USA","1550 Edna Pl",Macon,GA,31204-4911,USA,PK-08,https://www.adventisteducation.org/schools/ANTM32,"Welcome to B.C.A.! Bethany Christian Academy (BCA) has been in the business of preparing children for the Kingdom since 1986.",32.826445,-83.689002,1,range_interpolation,1550,"Edna Pl",,,Macon,GA,"Bibb County",31204,US,"TIGER/Line® dataset from the US Census Bureau"
250,"Carman Adventist School","1330 Cobb Pkwy N, Marietta, GA, 30062-2422, USA","1330 Cobb Pkwy N",Marietta,GA,30062-2422,USA,PK-08,https://www.adventisteducation.org/schools/ANTFB7,"Carman Adventist School provides a safe, nurturing environment where highly qualified teachers educate the whole child, in an inclusive family atmosphere.",33.984525,-84.562464,1,rooftop,1330,"Cobb Pkwy N",,,Marietta,GA,"Cobb County",30062,US,"City of Marietta"
251,"Columbus SDA School","7880 Schomburg Rd, Columbus, GA, 31909-2000, USA","7880 Schomburg Rd",Columbus,GA,31909-2000,USA,PK-08,https://www.adventisteducation.org/schools/ANTF48,[],32.56808,-84.909582,1,rooftop,7880,"Schomburg Rd",,,Columbus,GA,"Muscogee County",31909,US,"Muscogee County"
252,"Conyers Adventist Academy","3001 Old Salem Rd SE, Conyers, GA, 30013-2230, USA","3001 Old Salem Rd SE",Conyers,GA,30013-2230,USA,PK-08,https://www.adventisteducation.org/schools/ANTF2O,[],33.610493,-83.993859,1,rooftop,3001,"Old Salem Rd SE",,,Conyers,GA,"Rockdale County",30013,US,Rockdale
