,School Name,Full Address,Street Address,City,State,Zip Code,Country,School Type,Website,Description
241,William A Kirlew Jr Academy,"18900 NW 32nd Ave, Miami Gardens, FL, 33056-3026, USA",18900 NW 32nd Ave,Miami Gardens,FL,33056-3026,USA,PK-08,https://www.adventisteducation.org/schools/ANTBMA,[]
242,Winter Haven Adventist Academy,"401 Avenue K SE, Winter Haven, FL, 33880-4126, USA",401 Avenue K SE,Winter Haven,FL,33880-4126,USA,PK-08,https://www.adventisteducation.org/schools/ANTBE7,[]
243,Adventist Christian School,"4301 Wheeler Rd, Martinez, GA, 30907-8755, USA",4301 Wheeler Rd,Martinez,GA,30907-8755,USA,PK-08,https://www.adventisteducation.org/schools/ANTF30,[]
244,Atlanta Adventist Academy,"2959 Duluth Highway 120 # 120, Duluth, GA, 30096-3701, USA",2959 Duluth Highway 120 # 120,Duluth,GA,30096-3701,USA,9-12,https://www.adventisteducation.org/schools/ANTF1B,[]
245,Atlanta Adventist International School,"5241 Ash St, Forest Park, GA, 30297-3951, USA",5241 Ash St,Forest Park,GA,30297-3951,USA,PK-08,https://www.adventisteducation.org/schools/ANTMIS,[]
246,Atlanta North SDA School,"5123 Chamblee Dunwoody Rd, Atlanta, GA, 30338-4801, USA",5123 Chamblee Dunwoody Rd,Atlanta,GA,30338-4801,USA,PK-08,https://www.adventisteducation.org/schools/ANTF27,[]
247,Berean Child Development Center,"401 Hamilton E Holmes Dr NW, Atlanta, GA, 30318-7303, USA",401 Hamilton E Holmes Dr NW,Atlanta,GA,30318-7303,USA,ECP,https://www.adventisteducation.org/schools/ANTMBD,[]
248,Berean Christian Junior Academy,"401 Hamilton E. Holmes Dr., NW, Atlanta, GA, 30318, USA","401 Hamilton E. Holmes Dr., NW",Atlanta,GA,30318,USA,PK-08,https://www.adventisteducation.org/schools/ANTMAT,[]
249,Bethany Christian Academy,"1550 Edna Pl, Macon, GA, 31204-4911, USA",1550 Edna Pl,Macon,GA,31204-4911,USA,PK-08,https://www.adventisteducation.org/schools/ANTM32,Welcome to B.C.A.! Bethany Christian Academy (BCA) has been in the business of preparing children for the Kingdom since 1986.
250,Carman Adventist School,"1330 Cobb Pkwy N, Marietta, GA, 30062-2422, USA",1330 Cobb Pkwy N,Marietta,GA,30062-2422,USA,PK-08,https://www.adventisteducation.org/schools/ANTFB7,"Carman Adventist School provides a safe, nurturing environment where highly qualified teachers educate the whole child, in an inclusive family atmosphere."
251,Columbus SDA School,"7880 Schomburg Rd, Columbus, GA, 31909-2000, USA",7880 Schomburg Rd,Columbus,GA,31909-2000,USA,PK-08,https://www.adventisteducation.org/schools/ANTF48,[]
252,Conyers Adventist Academy,"3001 Old Salem Rd SE, Conyers, GA, 30013-2230, USA",3001 Old Salem Rd SE,Conyers,GA,30013-2230,USA,PK-08,https://www.adventisteducation.org/schools/ANTF2O,[]
253,Decatur Adventist Junior Academy,"2584 Young Rd, Stone Mountain, GA, 30088-4204, USA",2584 Young Rd,Stone Mountain,GA,30088-4204,USA,PK-08,https://www.adventisteducation.org/schools/ANTMDF,"Decatur Adventist Junior Academy is a STEAMS School which encompasses Science, Technology, Engineering, Arts, and Math with emphasis on building a spiritual relationship with God."
254,Decatur Early Learning Center,"2584 Young Rd, Stone Mountain, GA, 30088-4204, USA",2584 Young Rd,Stone Mountain,GA,30088-4204,USA,ECP,https://www.adventisteducation.org/schools/ANTMTU,[]
255,Douglasville Adventist School,"2836 Bright Star Rd, Douglasville, GA, 30134-1425, USA",2836 Bright Star Rd,Douglasville,GA,30134-1425,USA,PK-08,https://www.adventisteducation.org/schools/ANTF69,"Douglasville Adventist School, a Seventh-day Adventist Christian school, exists to show children Jesus, nurture their love for Him and others, teach them to think, and empower them to serve."
256,Duluth Adventist Christian School,"2959 Duluth Highway 120 # 120, Duluth, GA, 30096-3701, USA",2959 Duluth Highway 120 # 120,Duluth,GA,30096-3701,USA,PK-08,https://www.adventisteducation.org/schools/ANTF72,"DACS is a God-centered institution, SACS accredited Seventh-day Adventist pre-kindergarten to eighth grade school located in Duluth, GA."
257,Ebenezer SDA School,"1699 Olive Rd, Augusta, GA, 30904-4984, USA",1699 Olive Rd,Augusta,GA,30904-4984,USA,PK-08,https://www.adventisteducation.org/schools/ANTM44,[]
258,Emanuel Junior Academy,"1534 E Broad Ave, Albany, GA, 31705-2259, USA",1534 E Broad Ave,Albany,GA,31705-2259,USA,PK-08,https://www.adventisteducation.org/schools/ANTMAL,[]
259,Georgia-Cumberland Academy,"397 Academy Dr SW, Calhoun, GA, 30701-7407, USA",397 Academy Dr SW,Calhoun,GA,30701-7407,USA,9-12,https://www.adventisteducation.org/schools/ANTF21,"Georgia-Cumberland Academy teaches students to know Jesus as a friend, to love God and those around us, and to serve our church and community."
260,Greater Atlanta Adventist Academy,"401 Hamilton E Holmes Dr NW, Atlanta, GA, 30318-7303, USA",401 Hamilton E Holmes Dr NW,Atlanta,GA,30318-7303,USA,9-12,https://www.adventisteducation.org/schools/ANTM2G,"Greater Atlanta Adventist Academy is a college preparatory high school that challenges students to GREATER EXPECTATIONS and ACHIEVEMENTS in their spiritual, academic, and social endeavors,"
261,John L. Coble Elementary School,"450 Academy Dr SW, Calhoun, GA, 30701-7406, USA",450 Academy Dr SW,Calhoun,GA,30701-7406,USA,PK-08,https://www.adventisteducation.org/schools/ANTF13,"We are learning, loving, and living for Jesus at John L. Coble Elementary School, an elementary school serving children in grades Pre-K to 8."
262,Josephine Edwards Christian School,"12472 Highway 515 N, Ellijay, GA, 30536-2575, USA",12472 Highway 515 N,Ellijay,GA,30536-2575,USA,PK-08,https://www.adventisteducation.org/schools/ANTF78,[]
263,Learning Tree Elementary School,"300 S Tibbs Rd, Dalton, GA, 30720-8040, USA",300 S Tibbs Rd,Dalton,GA,30720-8040,USA,PK-08,https://www.adventisteducation.org/schools/ANTF60,"Above all, it is our desire that each student develops a personal relationship with Jesus Christ through studying His word and His works of creation."
264,Lithonia Adventist Academy,"3533 Ragsdale Rd, Lithonia, GA, 30038-3421, USA",3533 Ragsdale Rd,Lithonia,GA,30038-3421,USA,PK-08,https://www.adventisteducation.org/schools/ANTM64,[]
265,Mt. Olive Learning Center,"3366 Mount Olive Rd, East Point, GA, 30344-5614, USA",3366 Mount Olive Rd,East Point,GA,30344-5614,USA,ECP,https://www.adventisteducation.org/schools/ANTM23,[]
266,New Bethel Christian Academy,"2423 Woodruff Farm Rd, Columbus, GA, 31907-6855, USA",2423 Woodruff Farm Rd,Columbus,GA,31907-6855,USA,PK-08,https://www.adventisteducation.org/schools/ANTM36,[]
267,Northeast Georgia Christian Academy,"367 Church St, Cleveland, GA, 30528-1030, USA",367 Church St,Cleveland,GA,30528-1030,USA,PK-08,https://www.adventisteducation.org/schools/ANTF3C,[]
268,Oglethorpe SDA School,"84 Buck Creek Bypass, Oglethorpe, GA, 31068, USA",84 Buck Creek Bypass,Oglethorpe,GA,31068,USA,PK-08,https://www.adventisteducation.org/schools/ANTFD9,[]
269,Ramah Junior Academy,"3400 Florance St, Savannah, GA, 31405-1883, USA",3400 Florance St,Savannah,GA,31405-1883,USA,PK-08,https://www.adventisteducation.org/schools/ANTM76,"Ramah Junior Academy provides a Christ-centered learning environment that promotes academic excellence, while preparing its students for citizenship in this world and the world to come."
270,Savannah Adventist Christian Preschool,"50 Godley Way, Pooler, GA, 31322-4020, USA",50 Godley Way,Pooler,GA,31322-4020,USA,ECP,https://www.adventisteducation.org/schools/ANTF2T,[]
271,Savannah Adventist Christian School,"50 Godley Way, Pooler, GA, 31322-4020, USA",50 Godley Way,Pooler,GA,31322-4020,USA,PK-10,https://www.adventisteducation.org/schools/ANTFG7,"Savannah Adventist Christian School, located in Pooler, Georgia, provides preschool to high school education to children and youth throughout greater Savannah."
272,Shoal Creek Adventist School,"171 Gordon Rd, Newnan, GA, 30263-5238, USA",171 Gordon Rd,Newnan,GA,30263-5238,USA,PK-08,https://www.adventisteducation.org/schools/ANTFE7,[]
273,Valdosta Christian Academy,"2285 E Park Ave, Valdosta, GA, 31602-4424, USA",2285 E Park Ave,Valdosta,GA,31602-4424,USA,PK-08,https://www.adventisteducation.org/schools/ANTFA3,"Open to students in grades K-8, Valdosta Christian Academy was founded on Christian principles to prepare young people for service to God and man."
274,Wimbish Adventist School,"640 Wimbish Rd, Macon, GA, 31210-4316, USA",640 Wimbish Rd,Macon,GA,31210-4316,USA,PK-08,https://www.adventisteducation.org/schools/ANTFB3,[]
275,Adventist Malama Elementary School,"86-072 Farrington Hwy, Waianae, HI, 96792-3042, USA",86-072 Farrington Hwy,Waianae,HI,96792-3042,USA,K-08,https://www.adventisteducation.org/schools/ANPBAD,"Providing quality Christian education since 1998 in the Waianae community. With low student per teacher ratio, your keiki will grow physically, mentally, socially, and best of all, spiritually!"
276,Hawaiian Mission Academy,"1438 Pensacola St, Honolulu, HI, 96822-5829, USA",1438 Pensacola St,Honolulu,HI,96822-5829,USA,9-12,https://www.adventisteducation.org/schools/ANPB26,"Hawaiian Mission Academy is a 9-12 boarding academy, providing an education in a Christ-centered environment."
277,Hawaiian Mission Academy Ka Lama Iki,"1415 Makiki St, Honolulu, HI, 96814-1347, USA",1415 Makiki St,Honolulu,HI,96814-1347,USA,K-08,https://www.adventisteducation.org/schools/ANPB15,Hawaiian Mission Academy Ka Lama Iki is a Seventh-day Adventist Christian school serving students in Kindergarten to 8th grade. Ka Lama Iki encourages all learners to be independent thinkers and lifelong learners.
278,Hawaiian Mission Academy Maui,"261 S Puunene Ave, Kahului, HI, 96732-2426, USA",261 S Puunene Ave,Kahului,HI,96732-2426,USA,K-08,https://www.adventisteducation.org/schools/ANPB40,"Hawaiian Mission Academy Maui, a Seventh-day Adventist Christian school, is dedicated to inspire each student into a personal relationship with God, developing skills for academic excellence, and learning how to be of service."
279,Hawaiian Mission Academy Windward Campus,"160 Mookua St, Kailua, HI, 96734-2340, USA",160 Mookua St,Kailua,HI,96734-2340,USA,K-08,https://www.adventisteducation.org/schools/ANPB55,Hawaiian Mission Academy Windward Campus is a Kindergarten through eighth-grade elementary school providing students a place to journey to their highest potential.
280,Kahili Adventist Preschool,"PO Box 1147, Kapaa, HI, 96746-1147, USA",PO Box 1147,Kapaa,HI,96746-1147,USA,ECP,https://www.adventisteducation.org/schools/ANPBAP,[]
281,Kahili Adventist School,"4-1132 Kuhio Hwy, Kapaa, HI, 96746-1628, USA",4-1132 Kuhio Hwy,Kapaa,HI,96746-1628,USA,K-08,https://www.adventisteducation.org/schools/ANPB20,Kahili Adventist School is dedicated to leading students into a personal relationship with Jesus Christ by teaching them that a rewarding life is based upon unselfish service to others and achievement of their highest academic potential.
282,Kohala Adventist School,"55-3361 Akoni Pule Highway, Hawi, HI, 96719, USA",55-3361 Akoni Pule Highway,Hawi,HI,96719,USA,K-08,https://www.adventisteducation.org/schools/ANPB25,"KOA School, a Seventh-day Adventist Christian School, strives to guide learners to live a life of faith in God and to use their knowledge and gifts to serve God and their community."
283,Kona Adventist Christian School,"82-1013 Kinue Rd, Captain Cook, HI, 96704-8286, USA",82-1013 Kinue Rd,Captain Cook,HI,96704-8286,USA,PK-08,https://www.adventisteducation.org/schools/ANPB30,Kona Adventist Christian School offers a well-rounded Christian education that supports family values and recognizes each student's need for individualized attention.
284,Maui Adventist Pre-Elementary School,"261 S Puunene Ave, Kahului, HI, 96732-2426, USA",261 S Puunene Ave,Kahului,HI,96732-2426,USA,ECP,https://www.adventisteducation.org/schools/ANPBMP,[]
285,Mauna Loa Preschool,"172 Kapiolani St, Hilo, HI, 96720-2646, USA",172 Kapiolani St,Hilo,HI,96720-2646,USA,ECP,https://www.adventisteducation.org/schools/ANPBMA,[]
286,Mauna Loa School,"172 Kapiolani St, Hilo, HI, 96720-2646, USA",172 Kapiolani St,Hilo,HI,96720-2646,USA,K-08,https://www.adventisteducation.org/schools/ANPB45,[]
287,Beacon Christian School,"615 Stewart Ave, Lewiston, ID, 83501-4620, USA",615 Stewart Ave,Lewiston,ID,83501-4620,USA,PK-08,https://www.adventisteducation.org/schools/ANII13,[]
288,Boise Valley Adventist School,"925 N Cloverdale Rd, Boise, ID, 83713-8919, USA",925 N Cloverdale Rd,Boise,ID,83713-8919,USA,PK-08,https://www.adventisteducation.org/schools/ANI820,"Boise Valley Adventist School (BVAS) is a Seventh-day Adventist Christian school whose mission is to reflect Christ's character, to achieve the highest intellectual potential, to serve others, and to embrace healthful living."
289,Boise Valley Adventist School Preschool,"925 N Cloverdale Rd, Boise, ID, 83713-8919, USA",925 N Cloverdale Rd,Boise,ID,83713-8919,USA,ECP,https://www.adventisteducation.org/schools/ANI828,[]
290,Caldwell Adventist Elementary School,"2317 Wisconsin Ave, Caldwell, ID, 83605-5537, USA",2317 Wisconsin Ave,Caldwell,ID,83605-5537,USA,PK-08,https://www.adventisteducation.org/schools/ANI825,"Caldwell Adventist Elementary School offers a higher standard of education that rests on the four principles of faith, learning, citizenship, and life."
291,Cornerstone Christian School,"513357 Highway 95, Bonners Ferry, ID, 83805-5864, USA",513357 Highway 95,Bonners Ferry,ID,83805-5864,USA,PK-08,https://www.adventisteducation.org/schools/ANII15,[]
292,Desert View Christian School,"2425 American Legion Blvd, Mountain Home, ID, 83647-3146, USA",2425 American Legion Blvd,Mountain Home,ID,83647-3146,USA,PK-08,https://www.adventisteducation.org/schools/ANI8DE,[]
293,Eagle Adventist Christian Center,"538 W State St, Eagle, ID, 83616-4906, USA",538 W State St,Eagle,ID,83616-4906,USA,ECP,https://www.adventisteducation.org/schools/ANI824,[]
294,Eagle Adventist Christian School,"538 W State St, Eagle, ID, 83616-4906, USA",538 W State St,Eagle,ID,83616-4906,USA,PK-08,https://www.adventisteducation.org/schools/ANI830,Eagle Adventist Christian School provides a Christ-centered atmosphere where students can develop a personal relationship with Jesus and grow academically and socially.
295,Gem State Adventist Academy,"16115 S Montana Ave, Caldwell, ID, 83607-8365, USA",16115 S Montana Ave,Caldwell,ID,83607-8365,USA,9-12,https://www.adventisteducation.org/schools/ANI826,[]
296,Hilltop Adventist School,"131 Grandview Dr, Twin Falls, ID, 83301-5460, USA",131 Grandview Dr,Twin Falls,ID,83301-5460,USA,PK-08,https://www.adventisteducation.org/schools/ANI8HS,"Hilltop Seventh-day Adventist School educates its students for today, tomorrow and eternity through keeping Christ as the center of all the curriculum."
297,Lake City Academy,"125 E Locust Ave, Coeur D Alene, ID, 83814-3424, USA",125 E Locust Ave,Coeur D Alene,ID,83814-3424,USA,PK-08,https://www.adventisteducation.org/schools/ANII54,[]
298,Lake City Academy Preschool,"125 E Locust Ave, Coeur D Alene, ID, 83814-3424, USA",125 E Locust Ave,Coeur D Alene,ID,83814-3424,USA,ECP,https://www.adventisteducation.org/schools/ANII28,[]
299,Orofino Adventist Christian School,"46420 US-12, Orofino, ID, 83544, USA",46420 US-12,Orofino,ID,83544,USA,PK-08,https://www.adventisteducation.org/schools/ANII69,[]
300,Palouse Hills Christian School,"3148 Tomer Rd, Moscow, ID, 83843-8024, USA",3148 Tomer Rd,Moscow,ID,83843-8024,USA,PK-08,https://www.adventisteducation.org/schools/ANII75,"Palouse Hills Christian School, a Seventh-day Adventitst School, exists to show children Jesus, nurture their love for Him and others, teach them to think, and empower them to serve."
301,Pend Oreille Valley Adventist School,"33820 Highway 41, Oldtown, ID, 83822-9228, USA",33820 Highway 41,Oldtown,ID,83822-9228,USA,PK-08,https://www.adventisteducation.org/schools/ANII78,[]
302,Salmon SDA School,"515 Upper Fairmont St, Salmon, ID, 83467-3336, USA",515 Upper Fairmont St,Salmon,ID,83467-3336,USA,PK-08,https://www.adventisteducation.org/schools/ANI865,[]
303,Sandpoint Junior Academy,"2255 Pine St, Sandpoint, ID, 83864-9327, USA",2255 Pine St,Sandpoint,ID,83864-9327,USA,PK-08,https://www.adventisteducation.org/schools/ANII84,"Sandpoint Junior Academy exists to show children Jesus, nurture their love for Him and others, teach them to think, and empower them to serve."
304,Stepping Stones Daycare &amp; PreSchool,"2317 Wisconsin Ave, Caldwell, ID, 83605-5537, USA",2317 Wisconsin Ave,Caldwell,ID,83605-5537,USA,ECP,https://www.adventisteducation.org/schools/ANI823,[]
305,Treasure Valley SDA School,"305 1/2 S 9th St, Payette, ID, 83661-3320, USA",305 1/2 S 9th St,Payette,ID,83661-3320,USA,PK-08,https://www.adventisteducation.org/schools/ANI870,[]
306,Alpine Christian School,"325 N Alpine Rd, Rockford, IL, 61107-4905, USA",325 N Alpine Rd,Rockford,IL,61107-4905,USA,PK-08,https://www.adventisteducation.org/schools/ANF480,"The Alpine Christian School family exists to show children Jesus, nurture their love for Him and others, teach them to think, and empower them to serve."
307,Chicago SDA Christian School,"7008 S Michigan Ave, Chicago, IL, 60637-4512, USA",7008 S Michigan Ave,Chicago,IL,60637-4512,USA,PK-08,https://www.adventisteducation.org/schools/ANFB25,[]
308,Downers Grove Adventist School,"5524 Lee Ave, Downers Grove, IL, 60515-4412, USA",5524 Lee Ave,Downers Grove,IL,60515-4412,USA,PK-08,https://www.adventisteducation.org/schools/ANF428,[]
309,Gurnee Christian Academy,"2190 Fuller Rd, Gurnee, IL, 60031-1910, USA",2190 Fuller Rd,Gurnee,IL,60031-1910,USA,PK-10,https://www.adventisteducation.org/schools/ANF496,[]
310,Gurnee Christian Preschool,"2190 Fuller Rd, Gurnee, IL, 60031-1910, USA",2190 Fuller Rd,Gurnee,IL,60031-1910,USA,ECP,https://www.adventisteducation.org/schools/ANF473,[]
311,HAA Little Lambs Early Learning Center,"631 E Hickory St, Hinsdale, IL, 60521-2412, USA",631 E Hickory St,Hinsdale,IL,60521-2412,USA,ECP,https://www.adventisteducation.org/schools/ANF410,[]
312,Hinsdale Adventist Academy,"631 E Hickory St, Hinsdale, IL, 60521-2412, USA",631 E Hickory St,Hinsdale,IL,60521-2412,USA,PK-12,https://www.adventisteducation.org/schools/ANF440,[]
313,Marion Adventist Christian School,"9314 Old Route 13, Marion, IL, 62959-5834, USA",9314 Old Route 13,Marion,IL,62959-5834,USA,PK-08,https://www.adventisteducation.org/schools/ANF452,"Marion Adventist Christian School is a loving community that spiritually and academically equips, challenges and inspires students to impact their world for Christ."
314,Metro-East Adventist Christian School,"7864 N Illinois St, Caseyville, IL, 62232-2059, USA",7864 N Illinois St,Caseyville,IL,62232-2059,USA,PK-08,https://www.adventisteducation.org/schools/ANF4MS,[]
315,North Aurora Elementary School,"950 Mooseheart Rd, North Aurora, IL, 60542-6942, USA",950 Mooseheart Rd,North Aurora,IL,60542-6942,USA,PK-08,https://www.adventisteducation.org/schools/ANF413,"North Aurora Christian School is committed to  leading students to Jesus, empowering them to serve, and nurturing a love for learning."
316,North Shore Adventist Academy,"5220 N California Ave, Chicago, IL, 60625-3502, USA",5220 N California Ave,Chicago,IL,60625-3502,USA,PK-10,https://www.adventisteducation.org/schools/ANF460,[]
317,South Suburban SDA Christian School,"115 Chestnut St, Park Forest, IL, 60466-2139, USA",115 Chestnut St,Park Forest,IL,60466-2139,USA,PK-08,https://www.adventisteducation.org/schools/ANFBSO,[]
318,Thompsonville Christian Junior Academy,"3608 Angel Ln, Thompsonville, IL, 62890-1049, USA",3608 Angel Ln,Thompsonville,IL,62890-1049,USA,PK-10,https://www.adventisteducation.org/schools/ANF4TH,[]
319,Aboite Christian School,"6222 Bass Rd, Fort Wayne, IN, 46818-9603, USA",6222 Bass Rd,Fort Wayne,IN,46818-9603,USA,PK-08,https://www.adventisteducation.org/schools/ANF850,"We are the staff of Aboite Christian School, and we are passionate about developing leaders for Christ. We are committed to prayer, caring for our students, and providing them with a quality, Seventh-Day Adventist Christian education. We believe that learning should be fun and engaging."
320,Adventist Christian Elementary,"2230 N Martha St, Bloomington, IN, 47408-1355, USA",2230 N Martha St,Bloomington,IN,47408-1355,USA,PK-08,https://www.adventisteducation.org/schools/ANF825,We are a Christian Elementary K-8 school with a highly individualized Christian elementary program.
321,Cicero Adventist Elementary,"24089 State Road 19, Cicero, IN, 46034-9550, USA",24089 State Road 19,Cicero,IN,46034-9550,USA,PK-08,https://www.adventisteducation.org/schools/ANF830,[]
322,Cross Street Christian School,"2318 W Cross St, Anderson, IN, 46011-9550, USA",2318 W Cross St,Anderson,IN,46011-9550,USA,PK-08,https://www.adventisteducation.org/schools/ANF815,[]
323,Door Prairie Adventist Christian School,"1480 Boyd Blvd, La Porte, IN, 46350-6166, USA",1480 Boyd Blvd,La Porte,IN,46350-6166,USA,PK-08,https://www.adventisteducation.org/schools/ANF8LA,[]
324,Door Prairie Christian Daycare,"1480 Boyd Blvd, La Porte, IN, 46350-6166, USA",1480 Boyd Blvd,La Porte,IN,46350-6166,USA,ECP,https://www.adventisteducation.org/schools/ANF8DP,[]
325,Evansville Adventist Academy,"41 W Camp Ground Rd, Evansville, IN, 47710-4411, USA",41 W Camp Ground Rd,Evansville,IN,47710-4411,USA,PK-08,https://www.adventisteducation.org/schools/ANF845,[]
326,Indiana Academy,"24815 State Road 19, Cicero, IN, 46034-9543, USA",24815 State Road 19,Cicero,IN,46034-9543,USA,9-12,https://www.adventisteducation.org/schools/ANF82B,[]
327,Indianapolis Capitol City SDA School,"2143 Boulevard Pl, Indianapolis, IN, 46202-1250, USA",2143 Boulevard Pl,Indianapolis,IN,46202-1250,USA,PK-08,https://www.adventisteducation.org/schools/ANFB20,[]
328,Indianapolis Junior Academy,"2910 E 62nd St, Indianapolis, IN, 46220-2917, USA",2910 E 62nd St,Indianapolis,IN,46220-2917,USA,PK-08,https://www.adventisteducation.org/schools/ANF860,"Our mission is to provide our students a nurturing, Christ-centered academic program of excellence that will empower them to impact the world for the glory of God."
329,Indianapolis Southside Christian Academy,"4801 Shelbyville Rd, Indianapolis, IN, 46237-1914, USA",4801 Shelbyville Rd,Indianapolis,IN,46237-1914,USA,PK-08,https://www.adventisteducation.org/schools/ANF8SC,"We are a Seventh-day Adventist school located in Indianapolis, IN. Our school is part of the world-wide Seventh-day Adventist school network.  The Seventh-day Adventist educational system includes elementary and high schools, colleges and universities in countries around the globe. Our staff is committed to providing quality education in a Christ-filled environment."
330,INspire Academy,"PO Box 5000, Westfield, IN, 46074-5000, USA",PO Box 5000,Westfield,IN,46074-5000,USA,PK-08,https://www.adventisteducation.org/schools/ANF82L,[]
331,Maple Creek Adventist Academy,"2809 N Talley Rd, Columbus, IN, 47203-9169, USA",2809 N Talley Rd,Columbus,IN,47203-9169,USA,PK-08,https://www.adventisteducation.org/schools/ANF835,"Maple Creek Adventist Academy located in Columbus, Indiana was opened in August 2021. God worked providentially to open many doors so that the Columbus district could have a Seventh-day Adventist Christian School again."
332,Northwest Adventist Christian School,"10570 Randolph St, Crown Point, IN, 46307-8630, USA",10570 Randolph St,Crown Point,IN,46307-8630,USA,PK-08,https://www.adventisteducation.org/schools/ANF8NO,"Northwest Adventist Christian School 10570 Randolph Street, Crown Point, Indiana   Northwest is great for parents seeking a place where their children will be cherished and challenged rather than lost in the crowd. A small class size instills a positive learning environment.  The atmosphere at Northwest is Christ-centered, fostering a positive link between home, church, and school."
333,Richmond Adventist Elementary School,"4358 US Highway 35 N, Richmond, IN, 47374-9710, USA",4358 US Highway 35 N,Richmond,IN,47374-9710,USA,PK-08,https://www.adventisteducation.org/schools/ANF880,"We're a grade 1-8 school dedicated to leading children to Jesus through Christ-centered Adventist Education. Our Holistic, spiritually nurturing curriculum prepares students for academic success."
334,South Bend Junior Academy,"1910 Altgeld St, South Bend, IN, 46614-1606, USA",1910 Altgeld St,South Bend,IN,46614-1606,USA,PK-08,https://www.adventisteducation.org/schools/ANF885,"Welcome to our school! In pursuit of academic excellence, we blend hands-on learning with traditional Christian curriculum to nurture the unique God-given gifts in each child."
335,Andrews Christian Academy,"2773 Edgewood Rd, Cedar Rapids, IA, 52411-8500, USA",2773 Edgewood Rd,Cedar Rapids,IA,52411-8500,USA,PK-08,https://www.adventisteducation.org/schools/ANGB18,[]
336,Des Moines Adventist School,"2317 Watrous Ave, Des Moines, IA, 50321-2144, USA",2317 Watrous Ave,Des Moines,IA,50321-2144,USA,PK-08,https://www.adventisteducation.org/schools/ANGB13,"Des Moines Adventist School is As a Christian school serving Grades PK-9, our purpose is to provide a broad educational opportunity in a spiritual environment consistent with our Adventist Christian perspective."
337,Muscatine Adventist Christian School,"2904 Mulberry Ave, Muscatine, IA, 52761-2757, USA",2904 Mulberry Ave,Muscatine,IA,52761-2757,USA,PK-08,https://www.adventisteducation.org/schools/ANGB57,[]
338,Nevada Seventh-day Adventist School,"324 S 6th St, Nevada, IA, 50201-2531, USA",324 S 6th St,Nevada,IA,50201-2531,USA,PK-08,https://www.adventisteducation.org/schools/ANGB63,[]
339,Great Bend Adventist School,"7 SW 30 Ave, Great Bend, KS, 67530-6534, USA",7 SW 30 Ave,Great Bend,KS,67530-6534,USA,PK-08,https://www.adventisteducation.org/schools/ANGF36,[]
340,High Plains Christian School,"2710 N Fleming St, Garden City, KS, 67846-3219, USA",2710 N Fleming St,Garden City,KS,67846-3219,USA,PK-08,https://www.adventisteducation.org/schools/ANGF24,[]
341,Midland Adventist Academy,"6915 Maurer Rd, Shawnee, KS, 66217-9486, USA",6915 Maurer Rd,Shawnee,KS,66217-9486,USA,PK-12,https://www.adventisteducation.org/schools/ANGF56,[]
342,Three Angels Adventist School,"4558 N Hydraulic Ave, Wichita, KS, 67219-3319, USA",4558 N Hydraulic Ave,Wichita,KS,67219-3319,USA,PK-08,https://www.adventisteducation.org/schools/ANGFTH,[]
343,Topeka Adventist Christian School,"2431 SW Wanamaker Rd, Topeka, KS, 66614-4261, USA",2431 SW Wanamaker Rd,Topeka,KS,66614-4261,USA,PK-08,https://www.adventisteducation.org/schools/ANGF88,[]
344,V. Lindsay SDA School,"3310 Garfield Ave, Kansas City, KS, 66104-4300, USA",3310 Garfield Ave,Kansas City,KS,66104-4300,USA,PK-08,https://www.adventisteducation.org/schools/ANG425,[]
345,Wichita Adventist Christian Academy,"2725 S Osage Ave, Wichita, KS, 67217-3013, USA",2725 S Osage Ave,Wichita,KS,67217-3013,USA,PK-10,https://www.adventisteducation.org/schools/ANGF96,[]
346,Appalachian Christian Academy,"619 Memorial Dr, Manchester, KY, 40962-6198, USA",619 Memorial Dr,Manchester,KY,40962-6198,USA,PK-08,https://www.adventisteducation.org/schools/ANTI64,[]
347,Emma L. Minnis Jr. Academy,"1939 Magazine St, Louisville, KY, 40203-3559, USA",1939 Magazine St,Louisville,KY,40203-3559,USA,PK-08,https://www.adventisteducation.org/schools/ANTP35,"Emma L. Minnis Junior Academy is a Pre-K to Grade 8 Seventh-day Adventist educational institution, providing a Christian learning environment. Students will develop the physical, mental, and spiritual growth for this world and the world to come."
348,Lexington Adventist Academy,"968 Lane Allen Rd, Lexington, KY, 40504-3131, USA",968 Lane Allen Rd,Lexington,KY,40504-3131,USA,PK-10,https://www.adventisteducation.org/schools/ANTI52,[]
349,Louisville Adventist Academy,"2988 Newburg Rd, Louisville, KY, 40205-2710, USA",2988 Newburg Rd,Louisville,KY,40205-2710,USA,PK-10,https://www.adventisteducation.org/schools/ANTI56,"The Louisville Adventist Academy family exists to show children Jesus, nurture their love for Him and others, teach them to think, and empower them to serve."
350,Taylor Mill Christian Academy,"5235 Taylor Mill Rd, Taylor Mill, KY, 41015-2127, USA",5235 Taylor Mill Rd,Taylor Mill,KY,41015-2127,USA,PK-08,https://www.adventisteducation.org/schools/ANTI24,Taylor Mill Christian Academy is a Christian school that is dedicated to nurturing the personal growth of each student and inspiring students to dedicate themselves to a life of Christian service.
351,Emmanuel Adventist Preschool,"702 N Cherry St, Hammond, LA, 70401-2609, USA",702 N Cherry St,Hammond,LA,70401-2609,USA,ECP,https://www.adventisteducation.org/schools/ANWB2A,[]
