School Name,Full Address,Street Address,Street Number,Street,City,County,State/Province,Zip (5-digit),Zip (full),Country,School Type,Website,Description,Latitude,Longitude,Preschool,Kindergarten,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,University/College
Greater Boston Academy Preschool,"108 Pond St, Stoneham, MA, 02180-2824, USA",108 Pond St,108,Pond St,Stoneham,Middlesex County,MA,02180,02180-2824,USA,ECP,https://www.adventisteducation.org/schools/AN4M2J,,42.468168,-71.095822,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northeastern Adventist EC Acad. Boston,"800 Morton St, Mattapan, MA, 02126-1849, USA",800 Morton St,800,Morton St,Mattapan,Suffolk County,MA,02126,02126-1849,USA,ECP,https://www.adventisteducation.org/schools/AN4F2V,,42.282619,-71.087801,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northeastern Adventist EC Acad. Brockton,"243 Court St, Brockton, MA, 02302-4610, USA",243 Court St,243,Court St,Brockton,Plymouth County,MA,02302,02302-4610,USA,ECP,https://www.adventisteducation.org/schools/AN4F2T,,42.08611,-71.010882,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northeastern Adventist EC Acad. Springf.,"797 State St, Springfield, MA, 01109-4111, USA",797 State St,797,State St,Springfield,Hampden County,MA,01109,01109-4111,USA,ECP,https://www.adventisteducation.org/schools/AN4F2R,,42.110396,-72.56506,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shining Stars,"198 George Hill Road, South Lancaster, MA, 01561, USA",198 George Hill Road,198,George Hill Rd,South Lancaster,Worcester County,MA,01523,01561,USA,ECP,https://www.adventisteducation.org/schools/AN4M2I,,42.446501,-71.687746,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Lancaster Academy,"198 George Hill Road, South Lancaster, MA, 01561, USA",198 George Hill Road,198,George Hill Rd,South Lancaster,Worcester County,MA,01523,01561,USA,PK-12,https://www.adventisteducation.org/schools/AN4M2L,"South Lancaster Academy is about helping our students find and follow Jesus, grow in that relationship and offer the best possible education we can provide. We have to stay cutting edge in every one of those aspects.",42.446501,-71.687746,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
Springfield SDA Junior Academy,"797 State St, Springfield, MA, 01109-4111, USA",797 State St,797,State St,Springfield,Hampden County,MA,01109,01109-4111,USA,PK-10,https://www.adventisteducation.org/schools/AN4FSS,"NAA Springfield provided quality, Christ-centered education that empowers our students to attain academic excellence and be effective citizens in their communities, preparing them for now and eternity.",42.110396,-72.56506,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
Wachusett Hills Christian School,"100 Colony Rd, Westminster, MA, 01473-1050, USA",100 Colony Rd,100,Colony Rd,Westminster,Worcester County,MA,01473,01473-1050,USA,PK-08,https://www.adventisteducation.org/schools/AN4M25,,42.570178,-71.944087,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
Warren Adventist Elementary School,"1570 Southbridge Rd, West Brookfield, MA, 01585-6006, USA",1570 Southbridge Rd,1570,Southbridge Rd,West Brookfield,Worcester County,MA,01083,01585-6006,USA,PK-08,https://www.adventisteducation.org/schools/AN4M80,Warren SDA Elementary School is a private country school providing quality Christian education for grades 1 - 8.,42.179982,-72.163082,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
Worcester Seventh-day Adventist School,"2 Airport Dr, Worcester, MA, 01602-2434, USA",2 Airport Dr,2,Airport Dr,Worcester,Worcester County,MA,01602,01602-2434,USA,PK-08,https://www.adventisteducation.org/schools/AN4M90,,42.274523,-71.855733,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
A.S.P.I.R.E. Academy,"5801 W Michigan Ave, Lansing, MI, 48917-2476, USA",5801 W Michigan Ave,5801,W Michigan Ave,Lansing,Eaton County,MI,48917,48917-2476,USA,PK-12,https://www.adventisteducation.org/schools/ANFF2E,,42.733633,-84.639709,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
Adelphian Junior Academy,"740 Academy Rd, Holly, MI, 48442-1544, USA",740 Academy Rd,740,Academy Rd,Holly,Oakland County,MI,48442,48442-1544,USA,PK-10,https://www.adventisteducation.org/schools/ANFF12,,42.792127,-83.637369,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
Alpena Berean Christian School,"4029 US Highway 23 S, Alpena, MI, 49707-5135, USA",4029 US Highway 23 S,4029,US-23,Alpena,Alpena County,MI,49707,49707-5135,USA,PK-08,https://www.adventisteducation.org/schools/ANFF18,,45.021065,-83.464235,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
Andrews Academy,"8833 Garland Ave, Berrien Springs, MI, 49104-8300, USA",8833 Garland Ave,,Garland Ave,Berrien Springs,Berrien County,MI,49103,49104-8300,USA,09-12,https://www.adventisteducation.org/schools/ANFFAO,,41.960009,-86.35319,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0
Andrews University,"8975 US 31, Berrien Springs, MI, 49104-0001, USA",8975 US 31,8975,US-31,Berrien Springs,Berrien County,MI,49103,49104-0001,USA,University,https://www.adventisteducation.org/schools/A1112A,,41.959264,-86.364338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Ann Arbor Elementary School,"2796 Packard St, Ann Arbor, MI, 48108-3257, USA",2796 Packard St,2796,Packard St,Ann Arbor,Washtenaw County,MI,48108,48108-3257,USA,PK-08,https://www.adventisteducation.org/schools/ANFF22,,42.244677,-83.708411,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
Battle Creek Academy,"480 Parkway Dr, Battle Creek, MI, 49037-2134, USA",480 Parkway Dr,480,Parkway Dr,Battle Creek,Calhoun County,MI,49037,49037-2134,USA,PK-12,https://www.adventisteducation.org/schools/ANFF1G,,42.333156,-85.208265,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
Bluff View Christian School,"507 E Cinnebar St, Bessemer, MI, 49911-1104, USA",507 E Cinnebar St,507,E Cinnebar St,Bessemer,Gogebic County,MI,49911,49911-1104,USA,PK-08,https://www.adventisteducation.org/schools/ANFFBL,,46.484878,-90.041871,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
Cedar Lake Elementary School,"7195 Academy Rd, Cedar Lake, MI, 48812, USA",7195 Academy Rd,,Academy Rd,Cedar Lake,Montcalm County,MI,48812,48812,USA,PK-08,https://www.adventisteducation.org/schools/ANFF33,,43.403326,-84.975285,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
Charlotte Adventist Christian School,"1510 S Cochran Rd, Charlotte, MI, 48813-9124, USA",1510 S Cochran Rd,1510,S Cochran Ave,Charlotte,Eaton County,MI,48813,48813-9124,USA,PK-08,https://www.adventisteducation.org/schools/ANFF36,,42.544676,-84.835967,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
Eau Claire Elementary School,"6562 Naomi Rd, Eau Claire, MI, 49111-9674, USA",6562 Naomi Rd,6562,Naomi Rd,Eau Claire,Berrien County,MI,49111,49111-9674,USA,PK-08,https://www.adventisteducation.org/schools/ANFF39,,42.042995,-86.298079,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
Edenville SDA Elementary School,"342 W Curtis Dr, Edenville, MI, 48620-9802, USA",342 W Curtis Dr,342,W Curtis Rd,Edenville,Midland County,MI,48620,48620-9802,USA,PK-08,https://www.adventisteducation.org/schools/ANFF42,"At Edenville SDA School students are led to Jesus and guided into practical love and service, resulting in present and eternal success.",43.799297,-84.381813,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
First Flint Elementary School,"G4285 Beecher Rd, Flint, MI, 48532-2711, USA",G4285 Beecher Rd,,Beecher Rd,Flint,Genesee County,MI,48532,48532-2711,USA,PK-08,https://www.adventisteducation.org/schools/ANFF51,,43.031215,-83.776304,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
Flint Fairhaven Elementary School,"G-1379 W Louis Ave, Flint, MI, 48505, USA",G-1379 W Louis Ave,1379,Louis Ave,Flint,Genesee County,MI,48505,48505,USA,PK-08,https://www.adventisteducation.org/schools/ANFB30,,43.088387,-83.708873,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
Gobles Junior Academy,"32110 6th Ave, Gobles, MI, 49055-9078, USA",32110 6th Ave,32110,6th Ave,Gobles,Van Buren County,MI,49055,49055-9078,USA,PK-10,https://www.adventisteducation.org/schools/ANFF66,Gobles Junior Academy is a fully accredited K-10 school with a mission of preparing students to live their lives with an eternal perspective.,42.397392,-85.865019,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
Grand Rapids Adventist Academy,"1151 Oakleigh Rd NW, Grand Rapids, MI, 49504-3716, USA",1151 Oakleigh Rd NW,1151,Oakleigh Rd NW,Grand Rapids,Kent County,MI,49504,49504-3716,USA,PK-12,https://www.adventisteducation.org/schools/ANFF72,,42.985315,-85.728083,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
Grayling Elementary School,"2468 Camp Ausable Rd, Grayling, MI, 49738-6785, USA",2468 Camp Ausable Rd,,Ausable Ct,Grayling,Crawford County,MI,49738,49738-6785,USA,PK-08,https://www.adventisteducation.org/schools/ANFF57,,44.660309,-84.71028,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
Great Lakes Adventist Academy,"7477 Academy Rd, Cedar Lake, MI, 48812, USA",7477 Academy Rd,7477,Academy Rd,Cedar Lake,Montcalm County,MI,48829,48812,USA,09-12,https://www.adventisteducation.org/schools/ANFF25,,43.401859,-84.974947,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0
Greater Lansing Adventist School,"5330 W St Joe Hwy, Lansing, MI, 48917-4060, USA",5330 W St Joe Hwy,5330,W St Joe Hwy,Lansing,Eaton County,MI,48917,48917-4060,USA,PK-10,https://www.adventisteducation.org/schools/ANFF75,,42.726756,-84.624349,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
Griggs International Academy,"8903 N US Highway 31 Ste 2, Berrien Springs, MI, 49104-1950, USA",8903 N US Highway 31 Ste 2,8903,US-31,Berrien Springs,Berrien County,MI,49103,49104-1950,USA,K-12,https://www.adventisteducation.org/schools/A1113L,,41.972099,-86.385615,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0
Griggs University,"8903 N US Highway 31 Ste 2, Berrien Springs, MI, 49104-1900, USA",8903 N US Highway 31 Ste 2,8903,US-31,Berrien Springs,Berrien County,MI,49103,49104-1900,USA,University,https://www.adventisteducation.org/schools/A111GR,,41.972099,-86.385615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Hastings Elementary School,"888 Terry Ln, Hastings, MI, 49058-9350, USA",888 Terry Ln,888,Terry Ln,Hastings,Barry County,MI,49058,49058-9350,USA,PK-08,https://www.adventisteducation.org/schools/ANFF78,,42.631196,-85.27685,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
Holland Adventist Academy,"11385 Ottogan St, Holland, MI, 49423-9043, USA",11385 Ottogan St,11385,Ottogan St,Holland,Ottawa County,MI,49423,49423-9043,USA,PK-10,https://www.adventisteducation.org/schools/ANFF81,"Holland Adventist Academy, an SDA school for grades K-10, is dedicated to developing in each student a love for God, a Christ-like character, and academic knowledge.",42.770094,-86.061797,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
Ionia Elementary School,"721 Elmwood Dr, Ionia, MI, 48846-1042, USA",721 Elmwood Dr,721,Elmwood Dr,Ionia,Ionia County,MI,48846,48846-1042,USA,PK-08,https://www.adventisteducation.org/schools/ANFF84,,42.992907,-85.077149,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
Ithaca Seventh-day Adventist School,"937 N Pine River St, Ithaca, MI, 48847-1119, USA",937 N Pine River St,937,N Pine River St,Ithaca,Gratiot County,MI,48847,48847-1119,USA,PK-08,https://www.adventisteducation.org/schools/ANFF87,"The Ithaca Seventh-day Adventist School exists to show children Jesus, nurture their love for Him, teach them to think, and empower them to serve.",43.304097,-84.607682,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
Kalamazoo Junior Academy,"1601 Nichols Rd, Kalamazoo, MI, 49006-2064, USA",1601 Nichols Rd,1601,Nichols Rd,Kalamazoo,Kalamazoo County,MI,49006,49006-2064,USA,PK-08,https://www.adventisteducation.org/schools/ANFF93,,42.307276,-85.628808,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
Marquette Seventh-day Adventist School,"270 US Highway 41 E, Negaunee, MI, 49866-9616, USA",270 US Highway 41 E,270,US-41,Negaunee,Marquette County,MI,49866,49866-9616,USA,PK-08,https://www.adventisteducation.org/schools/ANFFA3,The Marquette Seventh-day Adventist School is operated by the Marquette Seventh-day Adventist Church to provide a spiritually oriented education for children. A belief in the existence of the Creator God is fundamental in the philosophy of Seventh-day Adventist schools.,46.509053,-87.608101,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
Metropolitan SDA Junior Academy,"15521 N Haggerty Rd, Plymouth, MI, 48170-4864, USA",15521 N Haggerty Rd,15521,N Haggerty Rd,Plymouth,Wayne County,MI,48170,48170-4864,USA,PK-10,https://www.adventisteducation.org/schools/ANFFA6,Metropolitan Junior Academy exists to nurture in our students a personal relationship with Jesus Christ and to educate them for a life of unselfish service.,42.39752,-83.438278,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
Mount Pleasant Elementary School,"1730 E Pickard Rd, Mount Pleasant, MI, 48858-9693, USA",1730 E Pickard Rd,1730,E Pickard Rd,Mount Pleasant,Isabella County,MI,48858,48858-9693,USA,PK-08,https://www.adventisteducation.org/schools/ANFFA9,,43.611337,-84.813279,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
Niles Adventist School,"110 N Fairview Ave, Niles, MI, 49120-1570, USA",110 N Fairview Ave,110,N Fairview Ave,Niles,Berrien County,MI,49120,49120-1570,USA,PK-08,https://www.adventisteducation.org/schools/ANFFB9,,41.827973,-86.270876,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
Northview Adventist School,"202 N Carmel St, Cadillac, MI, 49601-2044, USA",202 N Carmel St,202,N Carmel St,Cadillac,Wexford County,MI,49601,49601-2044,USA,PK-08,https://www.adventisteducation.org/schools/ANFFC3,,44.253583,-85.386256,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
Oakwood Junior Academy,"26300 Goddard Rd, Taylor, MI, 48180-3905, USA",26300 Goddard Rd,26300,Goddard Rd,Taylor,Wayne County,MI,48180,48180-3905,USA,PK-08,https://www.adventisteducation.org/schools/ANFFC9,"At Oakwood Adventist Academy, our goal is simple: help children grow to become active pupils of Christ in a modern world.",42.226576,-83.294632,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
Peterson-Warren Academy,"4000 Sylvia St, Inkster, MI, 48141-3184, USA",4000 Sylvia St,4000,Sylvia St,Inkster,Wayne County,MI,48141,48141-3184,USA,PK-08,https://www.adventisteducation.org/schools/ANFB2Q,"Peterson-Warren Academy, a 57 year old day school serving the needs of students in metropolitan Detroit, offers personalized instruction in a Christian setting with enriching activities like organic gardening.",42.280524,-83.305475,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
Pine Mountain Christian School,"N3770 Pine Mountain Rd, Iron Mountain, MI, 49801-9404, USA",N3770 Pine Mountain Rd,3770,Pine Mountain Rd,Iron Mountain,Dickinson County,MI,49801,49801-9404,USA,PK-08,https://www.adventisteducation.org/schools/ANFFPI,,45.856087,-88.082555,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
Ruth Murdoch Elementary School,"8885 Garland Ave, Berrien Springs, MI, 49104-8300, USA",8885 Garland Ave,,Garland Ave,Berrien Springs,Berrien County,MI,49103,49104-8300,USA,PK-08,https://www.adventisteducation.org/schools/ANFFE7,,41.960009,-86.35319,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
The Crayon Box,"8475 University Blvd, Berrien Springs, MI, 49104-1800, USA",8475 University Blvd,,University Blvd,Berrien Springs,Berrien County,MI,49104,49104-1800,USA,ECP,https://www.adventisteducation.org/schools/ANFF2B,,41.962946,-86.360621,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tri-City SDA School,"2420 E Ashman St, Midland, MI, 48642-4043, USA",2420 E Ashman St,2420,E Ashman St,Midland,Midland County,MI,48642,48642-4043,USA,PK-08,https://www.adventisteducation.org/schools/ANFFF3,,43.6263,-84.197877,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
Troy Adventist Academy,"2777 Crooks Rd, Troy, MI, 48084-4705, USA",2777 Crooks Rd,2777,Crooks Rd,Troy,Oakland County,MI,48084,48084-4705,USA,PK-08,https://www.adventisteducation.org/schools/ANFFF7,Each student is special to us because they belong to God. They are all on spiritual journeys to understand His unconditional love and forgiveness as well as to discover God’s will for their lives.,42.558938,-83.16965,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
Troy Adventist Academy Preschool,"2777 Crooks Rd, Troy, MI, 48084-4705, USA",2777 Crooks Rd,2777,Crooks Rd,Troy,Oakland County,MI,48084,48084-4705,USA,ECP,https://www.adventisteducation.org/schools/ANFFTP,,42.558938,-83.16965,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Village Adventist Elementary School,"409 W Mars St, Berrien Springs, MI, 49103-1172, USA",409 W Mars St,,W Mars St,Berrien Springs,Berrien County,MI,49103,49103-1172,USA,PK-08,https://www.adventisteducation.org/schools/ANFF30,"At Village Adventist Elementary School, our mission is to help students CONNECT with Christ, GROW in knowledge, and SERVE with love.",41.946781,-86.339905,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
Wilson Junior Academy,"N13925 County Road 551, Wilson, MI, 49896-9765, USA",N13925 County Road 551,13925,County Rd 551,Wilson,Menominee County,MI,49896,49896-9765,USA,PK-10,https://www.adventisteducation.org/schools/ANFFG9,,45.617123,-87.367907,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
Adventist Christian School,"404 Richwood Rd, Detroit Lakes, MN, 56501-2123, USA",404 Richwood Rd,404,Richwood Rd,Detroit Lakes,Becker County,MN,56501,56501-2123,USA,PK-08,https://www.adventisteducation.org/schools/ANGI15,,46.828649,-95.837719,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
Anoka Adventist Christian School,"1035 Lincoln St, Anoka, MN, 55303-1805, USA",1035 Lincoln St,1035,Lincoln St,Anoka,Anoka County,MN,55303,55303-1805,USA,PK-08,https://www.adventisteducation.org/schools/ANGI20,,45.207774,-93.369409,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
Blackberry SDA School,"25321 Dove Ln, Grand Rapids, MN, 55744-6200, USA",25321 Dove Ln,25321,Dove Ln,Grand Rapids,Itasca County,MN,55744,55744-6200,USA,PK-08,https://www.adventisteducation.org/schools/ANGI30,"The Blackberry Seventh-day Adventist School provides Christ-centered education where students can develop a closer relationship with God. Biblical teaching, academic excellence, civic duty, and service are all emphasized in a safe environment.",47.179623,-93.390075,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
Capital City Adventist Christian School,"1220 McKnight Rd S, Saint Paul, MN, 55119-5923, USA",1220 McKnight Rd S,1220,McKnight Rd S,Saint Paul,Ramsey County,MN,55119,55119-5923,USA,PK-08,https://www.adventisteducation.org/schools/ANGI40,Capital City Adventist Christian School is a Bible-based school training our students to live in harmony with the Christian faith and grow in character.,44.904627,-93.002361,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
Capital City Adventist Preschool,"1220 McKnight Rd S, Saint Paul, MN, 55119-5923, USA",1220 McKnight Rd S,1220,McKnight Rd S,Saint Paul,Ramsey County,MN,55119,55119-5923,USA,ECP,https://www.adventisteducation.org/schools/ANGIDC,,44.904627,-93.002361,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maplewood Academy,"700 Main St N, Hutchinson, MN, 55350-1245, USA",700 Main St N,700,Main St N,Hutchinson,McLeod County,MN,55350,55350-1245,USA,09-12,https://www.adventisteducation.org/schools/ANGI16,"Maplewood Academy is a private, co-ed Christian high school located in Hutchinson, Minnesota. Maplewood is a closely woven, Christ-centered family.",44.906257,-94.36832,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0
Maranatha Adventist Christian School,"414 3rd Ave SW, Dodge Center, MN, 55927-9306, USA",414 3rd Ave SW,414,3rd Ave SW,Dodge Center,Dodge County,MN,55927,55927-9306,USA,PK-08,https://www.adventisteducation.org/schools/ANGI65,"Maranatha Adventist Christian School is a dynamically active, nurturing, family-type environment where the students are academically challenged and spiritually encouraged. The teachers are highly invested in the present as well as the future well-being of each student. Along with the mental and spiritual training, is our focus on physical development and service to others. Our outdoor education is a unique touch to our school.",44.026201,-92.859041,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
Minnetonka Christian Academy,"3500 Williston Rd, Minnetonka, MN, 55345-1516, USA",3500 Williston Rd,3500,Williston Rd,Minnetonka,Hennepin County,MN,55345,55345-1516,USA,PK-10,https://www.adventisteducation.org/schools/ANGI70,"Minnetonka Christian Academy is a Christ-centered, Seventh-day Adventist private school serving students from pre-kindergarten through tenth grade.",44.941,-93.46764,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
Northwoods Elementary School,"95 Academy Ln NW, Hutchinson, MN, 55350-1103, USA",95 Academy Ln NW,95,Academy Ln NW,Hutchinson,McLeod County,MN,55350,55350-1103,USA,PK-08,https://www.adventisteducation.org/schools/ANGI50,"Northwoods Elementary was built in the mid-1970s in Hutchinson, MN on the beautiful campus of Maplewood Academy.  We are committed to lifting up each student as a special child of God. We welcome students of all faiths and ethnic backgrounds who desire to have a Christian education in grades Pre-K through 8.",44.902886,-94.368858,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
Oak Street Christian School,"2910 Oak St, Brainerd, MN, 56401-3803, USA",2910 Oak St,2910,Oak St,Brainerd,Crow Wing County,MN,56401,56401-3803,USA,PK-08,https://www.adventisteducation.org/schools/ANGI35,,46.351899,-94.165771,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
Rochester Adventist Elementary,"1100 37th St NW, Rochester, MN, 55901-4227, USA",1100 37th St NW,1100,37th St NW,Rochester,Olmsted County,MN,55901,55901-4227,USA,PK-08,https://www.adventisteducation.org/schools/ANGI2I,"Rochester Adventist Elementary School is dedicated to providing the best possible Christian education for its elementary students without exception, and to training missionaries for the gospel ministry.",44.061005,-92.481312,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
Southview Christian School,"15304 County Road 5, Burnsville, MN, 55306-5322, USA",15304 County Road 5,15304,County Rd 5,Burnsville,Dakota County,MN,55306,55306-5322,USA,PK-10,https://www.adventisteducation.org/schools/ANGISP,,44.726184,-93.299002,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
Stone Ridge SDA Christian School,"115 E Orange St, Duluth, MN, 55811-5507, USA",115 E Orange St,115,E Orange St,Duluth,St. Louis County,MN,55811,55811-5507,USA,PK-08,https://www.adventisteducation.org/schools/ANGI60,,46.798447,-92.129466,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
Bass Christian Elementary School,"74 Maranatha Cir, Lumberton, MS, 39455-7647, USA",74 Maranatha Cir,74,Maranatha Cir,Lumberton,Lamar County,MS,39455,39455-7647,USA,PK-08,https://www.adventisteducation.org/schools/ANTG12,,31.100646,-89.415973,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
Bass Memorial Academy,"6433 U S Highway 11, Lumberton, MS, 39455-7504, USA",6433 U S Highway 11,6433,US-11,Lumberton,Lamar County,MS,39455,39455-7504,USA,09-12,https://www.adventisteducation.org/schools/ANTG1B,,31.092212,-89.415256,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0
College Drive SDA School,"120 College Dr, Pearl, MS, 39208-8949, USA",120 College Dr,212,College St,Pearl,Rankin County,MS,39073,39208-8949,USA,PK-08,https://www.adventisteducation.org/schools/ANTG48,"Our goal is to provide excellent education that meets the needs of the whole student, helping them achieve academic excellence while upholding the Bible and instilling a love for Christ.",32.151069,-90.126916,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
Community Christian School,"6256 Highway 39 N, Meridian, MS, 39305-9113, USA",6256 Highway 39 N,6256,State Hwy 39,Meridian,Lauderdale County,MS,39305,39305-9113,USA,PK-08,https://www.adventisteducation.org/schools/ANTG60,"Community Christian School is a  PreK-8th Grade private school in Meridian, MS. We strive to educate the whole child, mentally, emotionally, spiritually and socially",32.426174,-88.676281,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
E. E. Rogers SDA Early Childhood Program,"5125B Robinson Rd, Jackson, MS, 39204-4133, USA",5125B Robinson Rd,5125,Robinson Rd,Jackson,Hinds County,MS,39204,39204-4133,USA,ECP,https://www.adventisteducation.org/schools/ANTP2K,,32.280601,-90.26222,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E. E. Rogers SDA School,"5125-B Robinson Road, Jackson, MS, 39204, USA",5125-B Robinson Road,5125,Robinson Rd,Jackson,Hinds County,MS,39204,39204,USA,PK-08,https://www.adventisteducation.org/schools/ANTP30,,32.280601,-90.26222,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
Faith Adventist Christian School,"1005 Gordon Covington Rd, Summit, MS, 39666-7095, USA",1005 Gordon Covington Rd,,,Summit,Pike County,MS,39666,39666-7095,USA,PK-08,https://www.adventisteducation.org/schools/ANTGFC,"Faith Adventist Christian School offers small class size, multi-grade classrooms, and a diverse educational experience utilizing indoor and outdoor education locations.  FACtS is dedicated to encouraging a personal relationship with God and academic excellence.",31.28379,-90.46843,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
College Park Christian Academy,"1114 College Park Dr, Columbia, MO, 65203-1826, USA",1114 College Park Dr,1114,College Park Dr,Columbia,Boone County,MO,65203,65203-1826,USA,PK-10,https://www.adventisteducation.org/schools/ANGB30,"College Park Christian Academy exists to prepare each of its children for academic excellence, physical we'll-being, spiritual maturity, and ultimately a saving relationship with Jesus Christ and a place in His service.",38.939636,-92.366705,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
College Park Christian Preschool,"1108 College Park Dr, Columbia, MO, 65203-1826, USA",1108 College Park Dr,1108,College Park Dr,Columbia,Boone County,MO,65203,65203-1826,USA,ECP,https://www.adventisteducation.org/schools/ANGB29,,38.94026,-92.366631,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hillcrest Seventh-day Adventist School,"9777 Grandview Dr, Olivette, MO, 63132-2006, USA",9777 Grandview Dr,9777,Grandview Dr,Olivette,St. Louis County,MO,63132,63132-2006,USA,PK-10,https://www.adventisteducation.org/schools/ANGB84,Hillcrest Seventh-day Adventist Christian School is dedicated to igniting and sustaining a love for God and an excitement for learning.,38.678496,-90.39431,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
Maranatha Adventist School,"1400 E McKinsey St, Moberly, MO, 65270-2039, USA",1400 E McKinsey St,1400,E McKinsey St,Moberly,Randolph County,MO,65270,65270-2039,USA,PK-08,https://www.adventisteducation.org/schools/ANGB54,,39.408599,-92.421137,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
Prescott SDA School,"1405 Weisenborn Rd, Saint Joseph, MO, 64507-2524, USA",1405 Weisenborn Rd,1405,Weisenborn Rd,Saint Joseph,Buchanan County,MO,64507,64507-2524,USA,PK-08,https://www.adventisteducation.org/schools/ANGB81,,39.754433,-94.770736,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
Sedalia SDA School,"29531 Highway 50, Sedalia, MO, 65301-1222, USA",29531 Highway 50,29531,US-50,Sedalia,Pettis County,MO,65301,65301-1222,USA,PK-08,https://www.adventisteducation.org/schools/ANGB72,,38.694734,-93.142592,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
